지점,지점명,일시,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),습도(%)
119,수원,2023-09-09 00:01,21.3,0,243.7,0,86
119,수원,2023-09-09 00:02,21.3,0,239.6,0,86
119,수원,2023-09-09 00:03,21.3,0,234.2,0,86
119,수원,2023-09-09 00:04,21.3,0,224.4,0,86.1
119,수원,2023-09-09 00:05,21.3,0,226.9,0,86
119,수원,2023-09-09 00:06,21.3,0,231.7,.9,85.9
119,수원,2023-09-09 00:07,21.3,0,231.7,.9,85.6
119,수원,2023-09-09 00:08,21.4,0,243.9,.9,85.8
119,수원,2023-09-09 00:09,21.4,0,253.2,.7,85.5
119,수원,2023-09-09 00:10,21.4,0,263.7,.6,85.6
119,수원,2023-09-09 00:11,21.4,0,252.9,.3,85.6
119,수원,2023-09-09 00:12,21.4,0,249.4,.8,85.5
119,수원,2023-09-09 00:13,21.3,0,310.6,.3,85.3
119,수원,2023-09-09 00:14,21.3,0,238.1,.7,85.1
119,수원,2023-09-09 00:15,21.3,0,248,.7,85.3
119,수원,2023-09-09 00:16,21.3,0,240.5,.8,85.2
119,수원,2023-09-09 00:17,21.3,0,261.5,.8,85.4
119,수원,2023-09-09 00:18,21.3,0,262,.6,85.4
119,수원,2023-09-09 00:19,21.2,0,229.6,0,85.8
119,수원,2023-09-09 00:20,21.2,0,239.3,0,86
119,수원,2023-09-09 00:21,21.2,0,259.1,0,86.1
119,수원,2023-09-09 00:22,21.1,0,254.9,0,86.5
119,수원,2023-09-09 00:23,21.1,0,255.2,.5,86.5
119,수원,2023-09-09 00:24,21.1,0,292.5,.5,86.6
119,수원,2023-09-09 00:25,21.1,0,263.3,.6,86.9
119,수원,2023-09-09 00:26,21,0,264.4,.3,86.9
119,수원,2023-09-09 00:27,21,0,246.2,0,86.9
119,수원,2023-09-09 00:28,21,0,251,.1,87.1
119,수원,2023-09-09 00:29,21,0,283.5,0,87.1
119,수원,2023-09-09 00:30,21,0,272.2,0,87.2
119,수원,2023-09-09 00:31,20.9,0,259.7,0,87.4
119,수원,2023-09-09 00:32,20.9,0,258.3,.9,87.4
119,수원,2023-09-09 00:33,20.9,0,238.5,.4,87.4
119,수원,2023-09-09 00:34,20.9,0,259.8,1.2,87.5
119,수원,2023-09-09 00:35,20.9,0,248.4,.2,87.6
119,수원,2023-09-09 00:36,20.9,0,268,.8,87.5
119,수원,2023-09-09 00:37,20.9,0,268.4,.8,87.7
119,수원,2023-09-09 00:38,20.9,0,294.1,.8,87.8
119,수원,2023-09-09 00:39,20.9,0,268.5,.8,87.9
119,수원,2023-09-09 00:40,20.9,0,270.8,1,87.9
119,수원,2023-09-09 00:41,20.9,0,272,1.1,88.1
119,수원,2023-09-09 00:42,20.9,0,289.8,1,88.2
119,수원,2023-09-09 00:43,20.9,0,306.3,1,88.1
119,수원,2023-09-09 00:44,20.9,0,278,.6,88.3
119,수원,2023-09-09 00:45,20.9,0,274.8,.5,88.4
119,수원,2023-09-09 00:46,20.8,0,251.6,1.1,88.2
119,수원,2023-09-09 00:47,20.8,0,257.2,1.3,88.3
119,수원,2023-09-09 00:48,20.8,0,261.6,1.4,88.3
119,수원,2023-09-09 00:49,20.8,0,277.2,.6,88.2
119,수원,2023-09-09 00:50,20.8,0,271.1,.7,88.2
119,수원,2023-09-09 00:51,20.8,0,248.2,.7,88.1
119,수원,2023-09-09 00:52,20.8,0,267.1,.6,88.3
119,수원,2023-09-09 00:53,20.8,0,261.4,1.1,88.3
119,수원,2023-09-09 00:54,20.7,0,279.5,1.3,88.3
119,수원,2023-09-09 00:55,20.7,0,240.2,1,88.3
119,수원,2023-09-09 00:56,20.8,0,279.4,1.6,88.6
119,수원,2023-09-09 00:57,20.8,0,280.1,1.2,88.8
119,수원,2023-09-09 00:58,20.8,0,285.9,1.5,89
