지점,지점명,일시,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),습도(%)
119,수원,2023-08-11 00:01,21.7,0,213.2,1.8,97.9
119,수원,2023-08-11 00:02,21.7,0,229.8,1.3,97.8
119,수원,2023-08-11 00:03,21.7,0,236.3,2.1,97.8
119,수원,2023-08-11 00:04,21.7,0,231.9,2.7,97.9
119,수원,2023-08-11 00:05,21.7,0,236,2.3,97.9
119,수원,2023-08-11 00:06,21.7,0,254.2,1.6,97.6
119,수원,2023-08-11 00:07,21.7,0,230,2.3,97.9
119,수원,2023-08-11 00:08,21.7,0,208.4,1.4,97.9
119,수원,2023-08-11 00:09,21.7,0,235.4,1.8,97.9
119,수원,2023-08-11 00:10,21.7,0,236,1.4,97.8
119,수원,2023-08-11 00:11,21.7,0,216.8,1,97.7
119,수원,2023-08-11 00:12,21.7,0,200.2,2,97.9
119,수원,2023-08-11 00:13,21.7,0,206.4,1.3,98
119,수원,2023-08-11 00:14,21.7,0,215.6,1.7,98
119,수원,2023-08-11 00:15,21.7,0,209.4,2,98
119,수원,2023-08-11 00:16,21.7,0,210.7,1.6,98
119,수원,2023-08-11 00:17,21.7,0,223.5,2.2,98.1
119,수원,2023-08-11 00:18,21.7,0,196.8,1.8,97.9
119,수원,2023-08-11 00:19,21.7,0,211,2,98.1
119,수원,2023-08-11 00:20,21.7,0,214.6,2.2,98.1
119,수원,2023-08-11 00:21,21.7,0,214.6,2.1,98.1
119,수원,2023-08-11 00:22,21.7,0,205.9,1.7,98.2
119,수원,2023-08-11 00:23,21.7,0,196.3,1.6,98.2
119,수원,2023-08-11 00:24,21.7,0,194.1,.8,98.2
119,수원,2023-08-11 00:25,21.7,0,192.7,1.2,98.1
119,수원,2023-08-11 00:26,21.7,0,199.5,1.3,98
119,수원,2023-08-11 00:27,21.7,0,227.5,1.3,98.2
119,수원,2023-08-11 00:28,21.7,.1,195.5,1.3,98.1
119,수원,2023-08-11 00:29,21.8,.1,199.6,1.4,98.2
119,수원,2023-08-11 00:30,21.7,.1,202.7,1.8,98
119,수원,2023-08-11 00:31,21.8,.2,206.8,1.5,97.9
119,수원,2023-08-11 00:32,21.8,.2,173.2,1,97.9
119,수원,2023-08-11 00:33,21.8,.2,221,1.6,98.2
119,수원,2023-08-11 00:34,21.8,.2,185.2,2.2,98
119,수원,2023-08-11 00:35,21.8,.2,213.7,1.2,97.9
119,수원,2023-08-11 00:36,21.8,.3,203.8,1.6,98.2
119,수원,2023-08-11 00:37,21.8,.3,200.3,1.2,98.1
119,수원,2023-08-11 00:38,21.8,.3,187.6,2.2,98
119,수원,2023-08-11 00:39,21.8,.3,182.6,1.4,98
119,수원,2023-08-11 00:40,21.8,.3,192.8,1.1,97.9
119,수원,2023-08-11 00:41,21.8,.4,206.3,1.5,98.1
119,수원,2023-08-11 00:42,21.8,.4,191.6,2.3,98.3
119,수원,2023-08-11 00:43,21.8,.4,219,1.4,98.3
119,수원,2023-08-11 00:44,21.8,.5,188.2,1.6,98.3
119,수원,2023-08-11 00:45,21.8,.5,221.3,1.9,98.3
119,수원,2023-08-11 00:46,21.8,.5,208.1,1.9,98.1
119,수원,2023-08-11 00:47,21.8,.5,216.4,2.8,98.1
119,수원,2023-08-11 00:48,21.8,.6,209.3,2.8,98.4
119,수원,2023-08-11 00:49,21.8,.8,198.8,2.7,98.4
119,수원,2023-08-11 00:50,21.8,.9,178.1,1.1,98.1
119,수원,2023-08-11 00:51,21.8,.9,171.6,1.2,98
119,수원,2023-08-11 00:52,21.8,1,211.3,1,98.1
119,수원,2023-08-11 00:53,21.8,1.1,188.7,1.5,98.2
119,수원,2023-08-11 00:54,21.8,1.2,186.1,1.8,98.1
119,수원,2023-08-11 00:55,21.7,1.3,175,1.1,98.1
119,수원,2023-08-11 00:56,21.7,1.4,171.1,1.3,98.1
119,수원,2023-08-11 00:57,21.7,1.6,169,1.6,98.4
119,수원,2023-08-11 00:58,21.7,1.8,181.4,1.1,98.2
119,수원,2023-08-11 00:59,21.8,1.9,149.1,1.3,97.9
119,수원,2023-08-11 01:00,21.8,2,151.9,2.6,98.4
119,수원,2023-08-11 01:01,21.8,2.1,156.5,2.4,98.4
119,수원,2023-08-11 01:02,21.8,2.2,164,2.5,98.4
119,수원,2023-08-11 01:03,21.8,2.3,168.3,2.8,98.3
119,수원,2023-08-11 01:04,21.8,2.5,156.8,2.8,98.5
119,수원,2023-08-11 01:05,21.7,2.6,195.9,2.7,98.2
119,수원,2023-08-11 01:06,21.8,2.8,153.4,1.9,98.2
119,수원,2023-08-11 01:07,21.7,3,153.2,2.8,98.2
119,수원,2023-08-11 01:08,21.7,3.2,157.6,2.5,98.1
119,수원,2023-08-11 01:09,21.7,3.4,161.6,2,98.1
119,수원,2023-08-11 01:10,21.7,3.5,179.4,2.5,97.9
119,수원,2023-08-11 01:11,21.7,3.6,160,2.7,98
119,수원,2023-08-11 01:12,21.7,3.7,175.2,2.1,98.3
119,수원,2023-08-11 01:13,21.7,3.8,176.6,2.7,98.1
119,수원,2023-08-11 01:14,21.7,3.9,174.7,2.4,98.2
119,수원,2023-08-11 01:15,21.7,4,171.5,1.7,98
119,수원,2023-08-11 01:16,21.7,4.1,148.4,2,98.2
119,수원,2023-08-11 01:17,21.7,4.2,121.6,1.5,98
119,수원,2023-08-11 01:18,21.7,4.3,159.1,2.5,97.9
119,수원,2023-08-11 01:19,21.7,4.4,158.1,1.5,97.8
119,수원,2023-08-11 01:20,21.7,4.5,260,.7,97.8
119,수원,2023-08-11 01:21,21.7,4.7,209.5,.7,97.5
119,수원,2023-08-11 01:22,21.7,4.8,155.3,.7,97.7
119,수원,2023-08-11 01:23,21.7,4.9,38.5,.5,97.6
119,수원,2023-08-11 01:24,21.7,5,117.4,.5,97.6
119,수원,2023-08-11 01:25,21.7,5,127,2,97.8
119,수원,2023-08-11 01:26,21.7,5.1,106.5,1.5,97.9
119,수원,2023-08-11 01:27,21.7,5.2,122.6,1.6,97.7
