지점,지점명,일시,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),습도(%)
119,수원,2023-07-25 00:01,25.4,0,282.1,.3,88.2
119,수원,2023-07-25 00:02,25.4,0,241.5,1.3,88.2
119,수원,2023-07-25 00:03,25.4,0,270.6,1.2,87.5
119,수원,2023-07-25 00:04,25.4,0,235.7,.9,87.2
119,수원,2023-07-25 00:05,25.4,0,251.1,.6,87.6
119,수원,2023-07-25 00:06,25.4,0,190.5,0,87.5
119,수원,2023-07-25 00:07,25.5,0,208.5,0,87.2
119,수원,2023-07-25 00:08,25.4,0,250.3,0,87.3
119,수원,2023-07-25 00:09,25.4,0,248.7,0,87.1
119,수원,2023-07-25 00:10,25.4,0,231.4,.5,86.9
119,수원,2023-07-25 00:11,25.4,0,239.2,.2,87.1
119,수원,2023-07-25 00:12,25.4,0,239.1,.4,87.6
119,수원,2023-07-25 00:13,25.4,0,237.7,.6,87.6
119,수원,2023-07-25 00:14,25.4,0,244.8,.4,87.8
119,수원,2023-07-25 00:15,25.4,0,255.6,.1,87.3
119,수원,2023-07-25 00:16,25.4,0,244.8,.7,87.5
119,수원,2023-07-25 00:17,25.4,0,250.3,.4,87.6
119,수원,2023-07-25 00:18,25.4,0,242.4,.3,88
119,수원,2023-07-25 00:19,25.4,0,234.2,.2,87.3
119,수원,2023-07-25 00:20,25.4,0,247.4,.6,87.5
119,수원,2023-07-25 00:21,25.4,0,277.2,.6,87.6
119,수원,2023-07-25 00:22,25.4,0,322,.4,88
119,수원,2023-07-25 00:23,25.4,0,318.2,.7,88.2
119,수원,2023-07-25 00:24,25.4,0,271.9,.5,88.7
119,수원,2023-07-25 00:25,25.4,0,255.2,1.6,88.3
119,수원,2023-07-25 00:26,25.4,0,249.9,1.4,88.4
119,수원,2023-07-25 00:27,25.4,0,236.8,.7,88.3
119,수원,2023-07-25 00:28,25.4,0,213.9,.6,88.2
119,수원,2023-07-25 00:29,25.4,0,211.6,1,88.2
119,수원,2023-07-25 00:30,25.4,0,221,0,88.4
119,수원,2023-07-25 00:31,25.4,0,157,0,88.7
119,수원,2023-07-25 00:32,25.3,0,225.9,.3,88.5
119,수원,2023-07-25 00:33,25.3,0,173,0,88.1
119,수원,2023-07-25 00:34,25.3,0,316.3,0,87.8
119,수원,2023-07-25 00:35,25.3,0,230,0,87.6
119,수원,2023-07-25 00:36,25.3,0,227.2,0,87.9
119,수원,2023-07-25 00:37,25.3,0,201.7,0,88.1
119,수원,2023-07-25 00:38,25.3,0,192.8,.3,88.4
119,수원,2023-07-25 00:39,25.3,0,196.4,.1,88.1
119,수원,2023-07-25 00:40,25.3,0,209.6,0,88.4
119,수원,2023-07-25 00:41,25.3,0,219.8,0,88.3
119,수원,2023-07-25 00:42,25.3,0,235.3,.5,88.1
119,수원,2023-07-25 00:43,25.3,0,240.4,.8,88.1
119,수원,2023-07-25 00:44,25.3,0,244.9,.6,88.3
119,수원,2023-07-25 00:45,25.3,0,270.4,.6,88.6
119,수원,2023-07-25 00:46,25.3,0,218.8,.3,88.2
119,수원,2023-07-25 00:47,25.3,0,213.2,.3,88
119,수원,2023-07-25 00:48,25.3,0,224.2,.9,88.1
119,수원,2023-07-25 00:49,25.3,0,277.7,.5,88.2
119,수원,2023-07-25 00:50,25.3,0,251.4,.6,88.1
119,수원,2023-07-25 00:51,25.3,0,226.6,.6,88.2
119,수원,2023-07-25 00:52,25.3,0,233.8,1.2,88.5
