지점,지점명,일시,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),습도(%)
119,수원,2023-08-30 00:01,21.6,0,117.4,1.1,94.8
119,수원,2023-08-30 00:02,21.6,0,142.4,1.1,94.7
119,수원,2023-08-30 00:03,21.6,0,143.3,.9,94.5
119,수원,2023-08-30 00:04,21.6,0,151.3,1.1,94.6
119,수원,2023-08-30 00:05,21.6,0,143.4,1.4,94.4
119,수원,2023-08-30 00:06,21.6,0,136.3,1.5,94.5
119,수원,2023-08-30 00:07,21.6,0,148.1,.8,94
119,수원,2023-08-30 00:08,21.6,0,151.7,1.2,93.8
119,수원,2023-08-30 00:09,21.6,0,134.5,1.1,94
119,수원,2023-08-30 00:10,21.6,0,134.9,1.7,93.7
119,수원,2023-08-30 00:11,21.6,0,142.5,2.1,93.8
119,수원,2023-08-30 00:12,21.6,0,139.2,2,94.1
119,수원,2023-08-30 00:13,21.6,0,149.3,2,93.8
119,수원,2023-08-30 00:14,21.6,0,129.6,1.8,93.8
119,수원,2023-08-30 00:15,21.6,0,138.3,1.8,94
119,수원,2023-08-30 00:16,21.6,0,145.1,2.3,93.6
119,수원,2023-08-30 00:17,21.6,0,141.7,2,93.8
119,수원,2023-08-30 00:18,21.6,0,143.2,2.3,93.6
119,수원,2023-08-30 00:19,21.6,0,134.2,1.5,93.7
119,수원,2023-08-30 00:20,21.6,0,133.5,1.6,93.9
119,수원,2023-08-30 00:21,21.6,0,135.8,1.3,93.9
119,수원,2023-08-30 00:22,21.6,0,107.1,1.1,93.9
119,수원,2023-08-30 00:23,21.6,0,126.2,1.2,93.9
119,수원,2023-08-30 00:24,21.6,0,140.5,1.1,93.8
119,수원,2023-08-30 00:25,21.6,0,130.9,.9,93.9
119,수원,2023-08-30 00:26,21.6,0,108.4,1.2,94.1
119,수원,2023-08-30 00:27,21.6,0,120.4,1.2,93.9
119,수원,2023-08-30 00:28,21.6,0,120.1,1.4,94
119,수원,2023-08-30 00:29,21.6,0,130.1,1.3,94
119,수원,2023-08-30 00:30,21.6,0,120.5,.9,93.8
119,수원,2023-08-30 00:31,21.6,0,142.7,.9,94
119,수원,2023-08-30 00:32,21.6,0,134.9,.6,94
119,수원,2023-08-30 00:33,21.6,0,104.4,.3,94.1
119,수원,2023-08-30 00:34,21.6,0,96.4,.4,94
119,수원,2023-08-30 00:35,21.6,0,98.9,.8,94.3
119,수원,2023-08-30 00:36,21.6,0,114.5,.5,94.3
119,수원,2023-08-30 00:37,21.6,0,146.5,.7,94.1
119,수원,2023-08-30 00:38,21.6,0,115,.8,94.3
119,수원,2023-08-30 00:39,21.6,0,119.6,.8,94.4
119,수원,2023-08-30 00:40,21.6,0,118.6,.7,94.4
119,수원,2023-08-30 00:41,21.6,0,111.4,.4,94.3
119,수원,2023-08-30 00:42,21.6,0,123.4,.4,94.3
119,수원,2023-08-30 00:43,21.6,0,99.6,.1,94.4
119,수원,2023-08-30 00:44,21.6,0,113.7,.1,94.6
119,수원,2023-08-30 00:45,21.6,0,109.6,.4,94.8
119,수원,2023-08-30 00:46,21.6,0,95.3,.6,94.7
119,수원,2023-08-30 00:47,21.5,0,79.3,.5,94.8
119,수원,2023-08-30 00:48,21.5,0,95.3,.6,94.7
119,수원,2023-08-30 00:49,21.5,0,85.6,.7,95
119,수원,2023-08-30 00:50,21.5,0,75.8,.3,95
119,수원,2023-08-30 00:51,21.5,0,132.9,.2,95
119,수원,2023-08-30 00:52,21.5,0,130.7,0,95.1
