지점,지점명,일시,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),습도(%)
119,수원,2023-08-16 00:01,25.2,0,211.9,.1,91.6
119,수원,2023-08-16 00:02,25.2,0,213,0,91.8
119,수원,2023-08-16 00:03,25.2,0,205.9,.4,91.8
119,수원,2023-08-16 00:04,25.2,0,197.4,.5,91.9
119,수원,2023-08-16 00:05,25.2,0,201.3,.3,92
119,수원,2023-08-16 00:06,25.2,0,187.7,.5,92
119,수원,2023-08-16 00:07,25.1,0,189,.7,92.2
119,수원,2023-08-16 00:08,25.1,0,194.1,1,92.4
119,수원,2023-08-16 00:09,25.1,0,192.4,1,92.2
119,수원,2023-08-16 00:10,25.1,0,199.7,.9,92.3
119,수원,2023-08-16 00:11,25.1,0,229.1,1,92.5
119,수원,2023-08-16 00:12,25.1,0,199.3,.8,92.5
119,수원,2023-08-16 00:13,25.1,0,203.8,.7,92.5
119,수원,2023-08-16 00:14,25.1,0,210.3,1.1,92.5
119,수원,2023-08-16 00:15,25.1,0,214.7,.8,92.6
119,수원,2023-08-16 00:16,25.1,0,226.5,.5,92.5
119,수원,2023-08-16 00:17,25.1,0,219.3,.9,92.4
119,수원,2023-08-16 00:18,25.1,0,215.5,.9,92.1
119,수원,2023-08-16 00:19,25.1,0,231.9,.9,92.5
119,수원,2023-08-16 00:20,25.1,0,237.6,.7,92.2
119,수원,2023-08-16 00:21,25.1,0,245.6,.7,92.4
119,수원,2023-08-16 00:22,25.1,0,235.1,.7,92.2
119,수원,2023-08-16 00:23,25.1,0,233.6,.7,92.3
119,수원,2023-08-16 00:24,25.1,0,233.8,.6,92.2
119,수원,2023-08-16 00:25,25.1,0,234,.3,92.3
119,수원,2023-08-16 00:26,25.1,0,213.7,.6,92.4
119,수원,2023-08-16 00:27,25.1,0,230.3,.9,92.2
119,수원,2023-08-16 00:28,25.1,0,229.8,.7,92.3
119,수원,2023-08-16 00:29,25.1,0,233.4,.9,92.6
119,수원,2023-08-16 00:30,25.1,0,252.4,.5,92.4
119,수원,2023-08-16 00:31,25.1,0,244.6,.7,92.4
119,수원,2023-08-16 00:32,25.1,0,222.9,.4,92.3
119,수원,2023-08-16 00:33,25.1,0,255.6,.7,92.2
119,수원,2023-08-16 00:34,25.1,0,308.4,.2,92.1
119,수원,2023-08-16 00:35,25.2,0,281.7,.5,91.9
119,수원,2023-08-16 00:36,25.2,0,293.7,.2,92
119,수원,2023-08-16 00:37,25.2,0,260.3,.3,92.1
119,수원,2023-08-16 00:38,25.2,0,250.4,1,92.1
119,수원,2023-08-16 00:39,25.2,0,254.1,1.3,92.2
119,수원,2023-08-16 00:40,25.2,0,245.4,1.1,92.1
119,수원,2023-08-16 00:41,25.2,0,257.3,.9,91.9
119,수원,2023-08-16 00:42,25.3,0,233.7,.8,92
119,수원,2023-08-16 00:43,25.3,0,236.8,1.5,91.9
119,수원,2023-08-16 00:44,25.3,0,236.8,1.3,91.8
119,수원,2023-08-16 00:45,25.3,0,237,1.4,92.2
119,수원,2023-08-16 00:46,25.3,0,246.9,1,92
119,수원,2023-08-16 00:47,25.3,0,241.6,.8,92
119,수원,2023-08-16 00:48,25.3,0,244.4,1,92.1
119,수원,2023-08-16 00:49,25.3,0,244.3,1.2,92.1
119,수원,2023-08-16 00:50,25.3,0,246,1.7,92.1
119,수원,2023-08-16 00:51,25.3,0,274,1.1,91.8
119,수원,2023-08-16 00:52,25.3,0,243.7,1.6,91.8
119,수원,2023-08-16 00:53,25.3,0,257.1,1.8,91.8
119,수원,2023-08-16 00:54,25.3,0,258.8,2.2,91.9
119,수원,2023-08-16 00:55,25.3,0,267.3,2.1,91.7
119,수원,2023-08-16 00:56,25.3,0,247.4,1.9,91.7
119,수원,2023-08-16 00:57,25.3,0,253.8,1.5,91.6
119,수원,2023-08-16 00:58,25.3,0,265,1.6,91.4
119,수원,2023-08-16 00:59,25.3,0,250.5,1.5,91.3
119,수원,2023-08-16 01:00,25.3,0,249.4,1.6,91.3
119,수원,2023-08-16 01:01,25.3,0,235.7,1.8,91.5
119,수원,2023-08-16 01:02,25.3,0,208.1,1.1,91.5
119,수원,2023-08-16 01:03,25.3,0,218.8,2.1,91.4
119,수원,2023-08-16 01:04,25.3,0,213.3,2.3,91.5
119,수원,2023-08-16 01:05,25.2,0,219.4,1.8,91.9
119,수원,2023-08-16 01:06,25.2,0,202.3,1.8,91.6
119,수원,2023-08-16 01:07,25.2,0,191.8,1.6,91.6
119,수원,2023-08-16 01:08,25.2,0,193.2,2,91.8
119,수원,2023-08-16 01:09,25.2,0,218.2,2,92
119,수원,2023-08-16 01:10,25.2,0,201.9,1.5,92.2
119,수원,2023-08-16 01:11,25.2,0,218.3,1.5,92.3
119,수원,2023-08-16 01:12,25.2,0,206,1.3,92.1
119,수원,2023-08-16 01:13,25.2,0,202.8,1.4,92.2
119,수원,2023-08-16 01:14,25.2,0,235.9,1.3,92.3
119,수원,2023-08-16 01:15,25.2,0,248.3,.7,92.3
119,수원,2023-08-16 01:16,25.2,0,206.7,1.2,92
119,수원,2023-08-16 01:17,25.2,0,244.4,1.1,92.1
119,수원,2023-08-16 01:18,25.2,0,230.3,1.1,92.2
119,수원,2023-08-16 01:19,25.2,0,253.7,.5,92
119,수원,2023-08-16 01:20,25.2,0,232,.6,91.9
119,수원,2023-08-16 01:21,25.2,0,225.7,1,92
119,수원,2023-08-16 01:22,25.2,0,228.6,.9,92.1
119,수원,2023-08-16 01:23,25.2,0,232.4,.6,91.9
119,수원,2023-08-16 01:24,25.2,0,228.3,.8,91.9
119,수원,2023-08-16 01:25,25.2,0,242.9,.8,91.7
119,수원,2023-08-16 01:26,25.2,0,260.1,1,91.6
119,수원,2023-08-16 01:27,25.2,0,234.9,1.3,91.6
119,수원,2023-08-16 01:28,25.2,0,260.9,.8,91.7
119,수원,2023-08-16 01:29,25.2,0,249.4,1,91.7
119,수원,2023-08-16 01:30,25.2,0,243.3,.9,91.7
119,수원,2023-08-16 01:31,25.2,0,227.5,1.7,91.7
119,수원,2023-08-16 01:32,25.2,0,228.8,1.6,91.5
119,수원,2023-08-16 01:33,25.2,0,229,1.8,91.8
119,수원,2023-08-16 01:34,25.2,0,230.1,1.3,91.7
119,수원,2023-08-16 01:35,25.1,0,222.5,1.4,92
119,수원,2023-08-16 01:36,25.1,0,221.9,1.2,92
119,수원,2023-08-16 01:37,25.1,0,245.8,1.5,92.2
119,수원,2023-08-16 01:38,25.1,0,222.8,1.3,92.1
119,수원,2023-08-16 01:39,25.1,0,245.5,1.6,92.1
119,수원,2023-08-16 01:40,25.1,0,241.2,1.8,92
119,수원,2023-08-16 01:41,25.2,0,244.7,1.6,91.8
119,수원,2023-08-16 01:42,25.2,0,249.3,1,91.7
119,수원,2023-08-16 01:43,25.2,0,230.7,.6,91.8
119,수원,2023-08-16 01:44,25.2,0,210.9,1,91.9
119,수원,2023-08-16 01:45,25.1,0,251.1,1,91.7
119,수원,2023-08-16 01:46,25.2,0,227.1,1.3,91.6
119,수원,2023-08-16 01:47,25.2,0,218.6,.8,91.7
119,수원,2023-08-16 01:48,25.2,0,210.3,.6,91.6
119,수원,2023-08-16 01:49,25.2,0,188.9,.3,91.4
119,수원,2023-08-16 01:50,25.2,0,209.9,0,91.4
119,수원,2023-08-16 01:51,25.2,0,223.8,0,91.3
119,수원,2023-08-16 01:52,25.2,0,226.4,.5,91.4
119,수원,2023-08-16 01:53,25.2,0,224.5,.5,91.3
119,수원,2023-08-16 01:54,25.2,0,216.6,.3,91.3
119,수원,2023-08-16 01:55,25.2,0,235.4,.5,91.4
119,수원,2023-08-16 01:56,25.2,0,253.9,.2,91.3
119,수원,2023-08-16 01:57,25.2,0,295.8,.4,91.5
119,수원,2023-08-16 01:58,25.2,0,270,.6,91.5
119,수원,2023-08-16 01:59,25.2,0,240.2,.7,91.2
119,수원,2023-08-16 02:00,25.2,0,245.3,.4,91.5
119,수원,2023-08-16 02:01,25.2,0,211.8,.7,91.4
119,수원,2023-08-16 02:02,25.2,0,215.6,1.4,91.1
119,수원,2023-08-16 02:03,25.2,0,212.7,.8,91.2
119,수원,2023-08-16 02:04,25.2,0,214.3,1.4,91.2
119,수원,2023-08-16 02:05,25.2,0,198.2,.8,91.3
119,수원,2023-08-16 02:06,25.2,0,190.8,.5,91.3
119,수원,2023-08-16 02:07,25.2,0,203.5,.7,91.2
119,수원,2023-08-16 02:08,25.2,0,207.3,.4,91.5
119,수원,2023-08-16 02:09,25.2,0,181.9,.5,91.4
119,수원,2023-08-16 02:10,25.2,0,157.7,.2,91.5
119,수원,2023-08-16 02:11,25.2,0,146.2,.7,91.5
119,수원,2023-08-16 02:12,25.2,0,148.2,1,91.2
119,수원,2023-08-16 02:13,25.2,0,137.5,1.3,91.3
119,수원,2023-08-16 02:14,25.2,0,138.8,1.6,91.3
119,수원,2023-08-16 02:15,25.2,0,138.9,1.7,91.2
