지점,지점명,일시,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),습도(%)
119,수원,2023-06-17 00:01,18.4,0,210.6,1.9,84.2
119,수원,2023-06-17 00:02,18.4,0,212.7,2.1,84.5
119,수원,2023-06-17 00:03,18.4,0,228.7,1.3,85.2
119,수원,2023-06-17 00:04,18.5,0,227.8,2.2,85.9
119,수원,2023-06-17 00:05,18.5,0,226.1,2.1,85.8
119,수원,2023-06-17 00:06,18.5,0,251.3,1.9,85.6
119,수원,2023-06-17 00:07,18.6,0,225.8,1.8,85.1
119,수원,2023-06-17 00:08,18.6,0,218.3,1.1,84.8
119,수원,2023-06-17 00:09,18.6,0,233.4,1,84.4
119,수원,2023-06-17 00:10,18.6,0,220.8,1.4,84.4
119,수원,2023-06-17 00:11,18.6,0,252.5,1.8,84.1
119,수원,2023-06-17 00:12,18.6,0,215.7,1.5,84.3
119,수원,2023-06-17 00:13,18.7,0,224,1.1,84.2
119,수원,2023-06-17 00:14,18.7,0,233.7,1.6,84.2
119,수원,2023-06-17 00:15,18.6,0,216.1,2.4,84.3
119,수원,2023-06-17 00:16,18.6,0,245.9,1.4,84.5
119,수원,2023-06-17 00:17,18.6,0,251.9,1.8,84.5
119,수원,2023-06-17 00:18,18.6,0,229.2,2.1,84.2
119,수원,2023-06-17 00:19,18.7,0,245.6,1.9,84.3
119,수원,2023-06-17 00:20,18.7,0,242.5,1.7,84
119,수원,2023-06-17 00:21,18.7,0,249.1,1.3,84
119,수원,2023-06-17 00:22,18.7,0,216.7,1.5,84
119,수원,2023-06-17 00:23,18.6,0,239.9,1.3,84
119,수원,2023-06-17 00:24,18.6,0,217.9,1,84.1
119,수원,2023-06-17 00:25,18.6,0,231.7,1.5,84.1
119,수원,2023-06-17 00:26,18.6,0,239.1,1.1,84
119,수원,2023-06-17 00:27,18.6,0,242.2,1.3,84.2
119,수원,2023-06-17 00:28,18.7,0,244,1.6,84.1
119,수원,2023-06-17 00:29,18.7,0,246.1,1.5,84.2
119,수원,2023-06-17 00:30,18.7,0,236.4,1.4,83.7
119,수원,2023-06-17 00:31,18.7,0,248.7,1,83.8
119,수원,2023-06-17 00:32,18.7,0,272,1.2,83.9
119,수원,2023-06-17 00:33,18.7,0,242.3,.5,83.8
119,수원,2023-06-17 00:34,18.7,0,237.3,.8,83.5
119,수원,2023-06-17 00:35,18.6,0,246.6,1.3,83.6
119,수원,2023-06-17 00:36,18.6,0,252.2,1,83.3
119,수원,2023-06-17 00:37,18.6,0,226.7,1.3,83.6
119,수원,2023-06-17 00:38,18.6,0,228.2,1.4,83.6
119,수원,2023-06-17 00:39,18.6,0,250.9,1.1,83.6
119,수원,2023-06-17 00:40,18.6,0,242.3,1.7,83.7
119,수원,2023-06-17 00:41,18.6,0,244.4,.8,83.7
119,수원,2023-06-17 00:42,18.6,0,250.7,1.1,83.6
119,수원,2023-06-17 00:43,18.6,0,240.7,.9,83.7
119,수원,2023-06-17 00:44,18.6,0,249.3,1.8,83.6
119,수원,2023-06-17 00:45,18.6,0,249.4,1.5,83.5
119,수원,2023-06-17 00:46,18.6,0,252.3,1.2,83.6
119,수원,2023-06-17 00:47,18.7,0,252.8,.7,83.6
119,수원,2023-06-17 00:48,18.7,0,280.7,.6,83.5
119,수원,2023-06-17 00:49,18.6,0,305.6,0,83.4
119,수원,2023-06-17 00:50,18.6,0,22.5,0,83.5
119,수원,2023-06-17 00:51,18.6,0,347.8,0,83.1
119,수원,2023-06-17 00:52,18.6,0,254.7,0,83.1
119,수원,2023-06-17 00:53,18.5,0,196.2,0,83
119,수원,2023-06-17 00:54,18.5,0,225.7,.1,82.7
119,수원,2023-06-17 00:55,18.5,0,232.8,0,82.8
119,수원,2023-06-17 00:56,18.4,0,207.3,.1,82.9
119,수원,2023-06-17 00:57,18.4,0,292.5,0,83.1
119,수원,2023-06-17 00:58,18.4,0,293.7,0,83.2
119,수원,2023-06-17 00:59,18.4,0,14.8,0,83.4
119,수원,2023-06-17 01:00,18.3,0,268.6,.2,83.3
119,수원,2023-06-17 01:01,18.3,0,258.7,.5,83.7
119,수원,2023-06-17 01:02,18.2,0,268.4,.5,83.9
119,수원,2023-06-17 01:03,18.2,0,276.3,.4,84.2
119,수원,2023-06-17 01:04,18.1,0,293.3,.5,84.2
119,수원,2023-06-17 01:05,18.1,0,284.6,.5,84.4
119,수원,2023-06-17 01:06,18.1,0,273,.7,84.5
119,수원,2023-06-17 01:07,18,0,271.4,.8,84.6
119,수원,2023-06-17 01:08,18,0,257.1,.5,84.5
119,수원,2023-06-17 01:09,18,0,265.2,1.3,84.5
119,수원,2023-06-17 01:10,18,0,211.4,1.2,84.8
119,수원,2023-06-17 01:11,18,0,228.6,.8,84.9
119,수원,2023-06-17 01:12,17.8,0,217.7,1,84.7
119,수원,2023-06-17 01:13,17.8,0,236.4,.7,85.5
119,수원,2023-06-17 01:14,17.8,0,227.7,.3,86.2
119,수원,2023-06-17 01:15,17.8,0,212.6,.3,86.3
119,수원,2023-06-17 01:16,17.8,0,217.4,.4,86.2
119,수원,2023-06-17 01:17,17.8,0,204.5,.5,86
119,수원,2023-06-17 01:18,17.8,0,235.4,.9,86.5
119,수원,2023-06-17 01:19,17.8,0,215.1,.8,86.6
119,수원,2023-06-17 01:20,17.7,0,228.7,.8,86.2
119,수원,2023-06-17 01:21,17.7,0,228.5,.2,86.4
119,수원,2023-06-17 01:22,17.7,0,229.8,.5,86.1
119,수원,2023-06-17 01:23,17.7,0,267.8,.3,86.2
119,수원,2023-06-17 01:24,17.7,0,265.4,.4,86.1
119,수원,2023-06-17 01:25,17.7,0,287.5,1.1,86.4
