지점,지점명,일시,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),습도(%)
119,수원,2023-08-29 00:01,25.7,0,96.1,3.4,78.1
119,수원,2023-08-29 00:02,25.7,0,108.1,3.9,78.2
119,수원,2023-08-29 00:03,25.7,0,108.1,2.9,78
119,수원,2023-08-29 00:04,25.7,0,106.1,2.8,78.2
119,수원,2023-08-29 00:05,25.7,0,111.5,2.8,78.2
119,수원,2023-08-29 00:06,25.6,0,84.1,3.9,78.2
119,수원,2023-08-29 00:07,25.6,0,94.2,1.8,78.1
119,수원,2023-08-29 00:08,25.6,0,81.9,2.4,78.2
119,수원,2023-08-29 00:09,25.6,0,89.7,3.1,78.4
119,수원,2023-08-29 00:10,25.6,0,100.1,2.7,78.3
119,수원,2023-08-29 00:11,25.6,0,86.6,3.5,78.2
119,수원,2023-08-29 00:12,25.6,0,89.3,3.7,78.1
119,수원,2023-08-29 00:13,25.6,0,85.9,2.9,78.1
119,수원,2023-08-29 00:14,25.6,0,99.5,1.3,78.3
119,수원,2023-08-29 00:15,25.6,0,90.1,3.3,78.2
119,수원,2023-08-29 00:16,25.6,0,90.6,2.2,78.1
119,수원,2023-08-29 00:17,25.6,0,80.6,2.7,78.2
119,수원,2023-08-29 00:18,25.6,0,96.6,2.7,77.9
119,수원,2023-08-29 00:19,25.6,0,106.4,2.8,78.2
119,수원,2023-08-29 00:20,25.6,0,92.9,2.7,78.4
119,수원,2023-08-29 00:21,25.6,0,102.2,3,78.3
119,수원,2023-08-29 00:22,25.6,0,88.6,2.5,78.2
119,수원,2023-08-29 00:23,25.6,0,92.8,2.9,78.5
119,수원,2023-08-29 00:24,25.6,0,82.4,2.2,78.3
119,수원,2023-08-29 00:25,25.6,0,96.2,2,78.5
119,수원,2023-08-29 00:26,25.6,0,93.7,2.7,78.3
119,수원,2023-08-29 00:27,25.6,0,90.6,2.2,78.4
119,수원,2023-08-29 00:28,25.6,0,90.5,2.7,78.5
119,수원,2023-08-29 00:29,25.6,0,92.2,2.5,78.6
119,수원,2023-08-29 00:30,25.6,0,97.4,2.2,78.7
119,수원,2023-08-29 00:31,25.6,0,93.4,2.5,78.6
119,수원,2023-08-29 00:32,25.6,0,97,2.5,78.9
