지점,지점명,일시,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),습도(%)
119,수원,2023-08-17 00:01,24.2,0,242.7,.6,90
119,수원,2023-08-17 00:02,24.2,0,250.9,.6,90.3
119,수원,2023-08-17 00:03,24.2,0,252.4,.6,90.2
119,수원,2023-08-17 00:04,24.1,0,248.1,.8,90.2
119,수원,2023-08-17 00:05,24.1,0,260.3,1,90.2
119,수원,2023-08-17 00:06,24.1,0,270.1,.4,90.2
119,수원,2023-08-17 00:07,24.2,0,276.2,.7,90.3
119,수원,2023-08-17 00:08,24.2,0,316.1,.3,90.5
119,수원,2023-08-17 00:09,24.1,0,312.6,.2,90.5
119,수원,2023-08-17 00:10,24.1,0,264.3,.5,90.4
119,수원,2023-08-17 00:11,24.1,0,264.7,.4,90.6
119,수원,2023-08-17 00:12,24.1,0,253,.2,90.7
119,수원,2023-08-17 00:13,24.1,0,246.1,.3,90.6
119,수원,2023-08-17 00:14,24.1,0,242.1,1.1,90.6
119,수원,2023-08-17 00:15,24.1,0,240.4,1,90.7
119,수원,2023-08-17 00:16,24.1,0,242.4,1.1,90.7
119,수원,2023-08-17 00:17,24.1,0,224.4,1.1,90.6
119,수원,2023-08-17 00:18,24.1,0,238.3,1,90.6
119,수원,2023-08-17 00:19,24.1,0,238,.7,90.6
119,수원,2023-08-17 00:20,24.1,0,262.3,.5,90.5
119,수원,2023-08-17 00:21,24.1,0,252.8,0,90.5
119,수원,2023-08-17 00:22,24,0,235.4,0,90.2
119,수원,2023-08-17 00:23,24,0,292.4,.3,90.2
119,수원,2023-08-17 00:24,24,0,282.2,0,90.3
119,수원,2023-08-17 00:25,24,0,308.8,0,90.3
119,수원,2023-08-17 00:26,24,0,247,.5,90.4
119,수원,2023-08-17 00:27,24,0,243,.9,90.4
119,수원,2023-08-17 00:28,24,0,252.8,1.1,90.3
119,수원,2023-08-17 00:29,24,0,240.6,.7,90.5
119,수원,2023-08-17 00:30,24,0,215.9,.6,90.6
119,수원,2023-08-17 00:31,24,0,211.9,.7,90.6
119,수원,2023-08-17 00:32,23.9,0,222.6,.7,90.6
119,수원,2023-08-17 00:33,23.9,0,203.1,.6,91
119,수원,2023-08-17 00:34,23.9,0,206.5,.5,90.9
119,수원,2023-08-17 00:35,23.9,0,207.1,.5,90.8
119,수원,2023-08-17 00:36,23.9,0,209.6,.3,90.8
119,수원,2023-08-17 00:37,23.9,0,188.2,0,90.9
119,수원,2023-08-17 00:38,23.8,0,194.4,.3,91.1
119,수원,2023-08-17 00:39,23.8,0,181.9,.2,91
119,수원,2023-08-17 00:40,23.8,0,139.4,.4,91.4
119,수원,2023-08-17 00:41,23.8,0,183.7,.5,91.4
119,수원,2023-08-17 00:42,23.8,0,163.6,.7,91.3
119,수원,2023-08-17 00:43,23.8,0,139.2,.7,91.4
119,수원,2023-08-17 00:44,23.8,0,150.7,.6,91.6
119,수원,2023-08-17 00:45,23.8,0,133.1,.8,91.6
119,수원,2023-08-17 00:46,23.8,0,125.4,.6,91.7
119,수원,2023-08-17 00:47,23.8,0,127.8,.6,91.6
119,수원,2023-08-17 00:48,23.8,0,94.8,.9,91.7
119,수원,2023-08-17 00:49,23.8,0,91.6,1,91.8
119,수원,2023-08-17 00:50,23.8,0,133.6,1.6,91.8
119,수원,2023-08-17 00:51,23.8,0,104,.8,91.5
119,수원,2023-08-17 00:52,23.8,0,131.4,1.6,91.5
119,수원,2023-08-17 00:53,23.8,0,118.5,1.3,91.6
119,수원,2023-08-17 00:54,23.8,0,129.6,1.3,91.5
119,수원,2023-08-17 00:55,23.8,0,126,1.4,91.1
119,수원,2023-08-17 00:56,23.8,0,98,1.2,91.3
119,수원,2023-08-17 00:57,23.8,0,129.3,1.7,91.2
119,수원,2023-08-17 00:58,23.8,0,144.1,.9,91.1
119,수원,2023-08-17 00:59,23.8,0,151.4,.8,91.3
119,수원,2023-08-17 01:00,23.8,0,156.2,.7,91.2
119,수원,2023-08-17 01:01,23.9,0,159,1.7,91.3
119,수원,2023-08-17 01:02,23.9,0,152.3,.8,91.5
119,수원,2023-08-17 01:03,23.9,0,150.8,1.1,91.3
119,수원,2023-08-17 01:04,23.9,0,152.5,1.6,91.4
119,수원,2023-08-17 01:05,23.9,0,170.3,1.3,91.3
119,수원,2023-08-17 01:06,23.9,0,208.5,1,91.6
119,수원,2023-08-17 01:07,23.9,0,186.9,.6,91.4
119,수원,2023-08-17 01:08,23.9,0,151.4,.9,91.4
119,수원,2023-08-17 01:09,23.9,0,176,.6,91.2
119,수원,2023-08-17 01:10,23.9,0,153.9,1.1,91.2
119,수원,2023-08-17 01:11,23.9,0,138.4,1.7,91.4
119,수원,2023-08-17 01:12,23.9,0,167.3,.7,91.3
119,수원,2023-08-17 01:13,23.9,0,116,1.2,91.2
119,수원,2023-08-17 01:14,23.9,0,151.5,1.4,91.4
119,수원,2023-08-17 01:15,23.9,0,151.4,1.1,91.3
119,수원,2023-08-17 01:16,23.9,0,179.3,.7,91.5
119,수원,2023-08-17 01:17,24,0,171.7,.8,91.5
119,수원,2023-08-17 01:18,24,0,162.5,1.5,91.4
119,수원,2023-08-17 01:19,24,0,194.3,1.1,91.2
119,수원,2023-08-17 01:20,24,0,166.9,.9,91.4
119,수원,2023-08-17 01:21,23.9,0,207.9,1.3,91.4
119,수원,2023-08-17 01:22,23.9,0,209.5,1.4,91.3
119,수원,2023-08-17 01:23,24,0,208.9,1.7,91.5
119,수원,2023-08-17 01:24,24,0,185.8,1.2,91.4
119,수원,2023-08-17 01:25,23.9,0,203.6,1.3,91.5
119,수원,2023-08-17 01:26,23.9,0,215,1.3,91.5
119,수원,2023-08-17 01:27,23.9,0,185.6,.8,91.5
119,수원,2023-08-17 01:28,23.9,0,196.6,1.2,91.4
119,수원,2023-08-17 01:29,23.9,0,184.3,1.9,91.2
119,수원,2023-08-17 01:30,23.9,0,167.3,2.1,91.3
119,수원,2023-08-17 01:31,23.9,0,181.5,1.8,91.4
