지점,지점명,일시,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),습도(%)
119,수원,2023-06-05 00:01,18.2,0,244.7,.4,81.1
119,수원,2023-06-05 00:02,18.2,0,212,.5,80.9
119,수원,2023-06-05 00:03,18.1,0,223.7,.3,81
119,수원,2023-06-05 00:04,18.1,0,226.8,.7,81.3
119,수원,2023-06-05 00:05,18.1,0,238.8,.4,81.4
119,수원,2023-06-05 00:06,18,0,250.9,.4,81.7
119,수원,2023-06-05 00:07,18,0,310.4,0,81.7
119,수원,2023-06-05 00:08,18,0,273.7,.3,81.9
119,수원,2023-06-05 00:09,18,0,260.7,.1,81.9
119,수원,2023-06-05 00:10,18,0,225.2,.4,81.9
119,수원,2023-06-05 00:11,18,0,259.7,.3,81.9
119,수원,2023-06-05 00:12,17.9,0,291,.3,81.9
119,수원,2023-06-05 00:13,17.9,0,294.3,.4,81.9
119,수원,2023-06-05 00:14,17.9,0,252.4,.3,81.9
119,수원,2023-06-05 00:15,17.9,0,217.7,0,82
119,수원,2023-06-05 00:16,17.9,0,222.8,.2,81.7
119,수원,2023-06-05 00:17,17.9,0,202.5,.8,81.7
119,수원,2023-06-05 00:18,17.9,0,203.1,.6,81.7
119,수원,2023-06-05 00:19,17.9,0,195.2,.9,81.6
119,수원,2023-06-05 00:20,17.9,0,225.2,0,81.9
119,수원,2023-06-05 00:21,17.8,0,234.8,0,82
119,수원,2023-06-05 00:22,17.8,0,325.7,0,82
119,수원,2023-06-05 00:23,17.8,0,263,0,82.1
119,수원,2023-06-05 00:24,17.8,0,222.2,0,82.5
119,수원,2023-06-05 00:25,17.7,0,292.7,.2,82.8
119,수원,2023-06-05 00:26,17.7,0,220.8,.5,82.9
119,수원,2023-06-05 00:27,17.7,0,246.6,.3,83.1
119,수원,2023-06-05 00:28,17.7,0,228.2,.5,83.3
119,수원,2023-06-05 00:29,17.7,0,254.4,0,83.1
119,수원,2023-06-05 00:30,17.7,0,217.6,.3,83.1
119,수원,2023-06-05 00:31,17.6,0,270.8,0,83.2
119,수원,2023-06-05 00:32,17.6,0,268.8,.2,83.4
119,수원,2023-06-05 00:33,17.6,0,256.3,.3,83.4
119,수원,2023-06-05 00:34,17.6,0,273.9,.2,83.6
119,수원,2023-06-05 00:35,17.6,0,269.4,.2,83.8
119,수원,2023-06-05 00:36,17.6,0,266.6,0,84.1
119,수원,2023-06-05 00:37,17.5,0,255.2,.4,84
119,수원,2023-06-05 00:38,17.5,0,307.9,.1,84
119,수원,2023-06-05 00:39,17.5,0,303.8,.5,84.3
119,수원,2023-06-05 00:40,17.5,0,285.2,.2,84.2
119,수원,2023-06-05 00:41,17.5,0,264.9,1.1,84.5
119,수원,2023-06-05 00:42,17.5,0,225.9,.3,84.4
119,수원,2023-06-05 00:43,17.5,0,258.6,0,84.5
119,수원,2023-06-05 00:44,17.4,0,272.7,.3,84.3
119,수원,2023-06-05 00:45,17.4,0,262.1,.2,84.4
119,수원,2023-06-05 00:46,17.4,0,265.1,0,84.4
119,수원,2023-06-05 00:47,17.4,0,288.3,.2,84.5
119,수원,2023-06-05 00:48,17.4,0,249.4,.1,84.4
119,수원,2023-06-05 00:49,17.4,0,209.7,0,84.5
119,수원,2023-06-05 00:50,17.3,0,255.6,.2,84.5
119,수원,2023-06-05 00:51,17.3,0,204.7,0,84.5
119,수원,2023-06-05 00:52,17.3,0,156.1,0,84.8
119,수원,2023-06-05 00:53,17.3,0,221.6,.1,84.8
119,수원,2023-06-05 00:54,17.3,0,233.6,.5,85.3
119,수원,2023-06-05 00:55,17.3,0,180.1,.2,85.1
119,수원,2023-06-05 00:56,17.3,0,219.3,.1,84.9
119,수원,2023-06-05 00:57,17.3,0,217.5,.6,85
119,수원,2023-06-05 00:58,17.3,0,223,.4,85
119,수원,2023-06-05 00:59,17.3,0,204.5,.3,85.1
119,수원,2023-06-05 01:00,17.2,0,222.4,.2,84.9
119,수원,2023-06-05 01:01,17.2,0,221.4,.6,85.1
119,수원,2023-06-05 01:02,17.2,0,230.4,.4,85
119,수원,2023-06-05 01:03,17.2,0,232.9,.3,85.2
119,수원,2023-06-05 01:04,17.2,0,222.3,.3,85.1
119,수원,2023-06-05 01:05,17.2,0,250.2,0,85.4
119,수원,2023-06-05 01:06,17.1,0,240.5,0,85.2
119,수원,2023-06-05 01:07,17.1,0,246,0,85.5
119,수원,2023-06-05 01:08,17.1,0,246.1,0,85.4
119,수원,2023-06-05 01:09,17.1,0,241.7,0,85.5
119,수원,2023-06-05 01:10,17.1,0,244.4,0,85.7
119,수원,2023-06-05 01:11,17.1,0,230.4,0,85.6
119,수원,2023-06-05 01:12,17.1,0,253.3,0,85.7
119,수원,2023-06-05 01:13,17.1,0,204.6,0,85.7
119,수원,2023-06-05 01:14,17,0,241.9,0,85.9
119,수원,2023-06-05 01:15,17,0,264.4,0,85.9
119,수원,2023-06-05 01:16,17,0,243.3,0,86.1
119,수원,2023-06-05 01:17,17,0,253.1,0,86.1
119,수원,2023-06-05 01:18,17,0,94.4,.5,85.9
119,수원,2023-06-05 01:19,17,0,108.8,.5,86.3
119,수원,2023-06-05 01:20,17,0,129.4,.4,86.5
119,수원,2023-06-05 01:21,17,0,132.2,.2,86.6
119,수원,2023-06-05 01:22,17,0,166,0,86.5
119,수원,2023-06-05 01:23,17,0,176.8,0,86.6
119,수원,2023-06-05 01:24,17,0,213,0,86.6
119,수원,2023-06-05 01:25,16.9,0,201.1,0,86.5
119,수원,2023-06-05 01:26,16.9,0,181.8,0,86.7
119,수원,2023-06-05 01:27,16.9,0,221.2,0,86.5
119,수원,2023-06-05 01:28,16.9,0,223,0,86.6
119,수원,2023-06-05 01:29,16.9,0,213,0,86.8
119,수원,2023-06-05 01:30,16.9,0,201.6,0,86.9
119,수원,2023-06-05 01:31,16.9,0,189.4,0,87
119,수원,2023-06-05 01:32,16.9,0,198.1,0,86.9
119,수원,2023-06-05 01:33,16.9,0,215.5,0,87
119,수원,2023-06-05 01:34,16.8,0,204,0,87
119,수원,2023-06-05 01:35,16.8,0,197.3,0,87
119,수원,2023-06-05 01:36,16.8,0,230.5,0,86.9
119,수원,2023-06-05 01:37,16.8,0,219.8,0,87.1
119,수원,2023-06-05 01:38,16.8,0,232.7,0,87
119,수원,2023-06-05 01:39,16.7,0,235.9,0,87.2
119,수원,2023-06-05 01:40,16.7,0,232,0,87.4
119,수원,2023-06-05 01:41,16.7,0,268.9,0,87.2
119,수원,2023-06-05 01:42,16.6,0,217.5,0,87.2
119,수원,2023-06-05 01:43,16.6,0,245.1,0,87.4
119,수원,2023-06-05 01:44,16.6,0,217.7,0,87.3
119,수원,2023-06-05 01:45,16.6,0,225.1,0,87.2
119,수원,2023-06-05 01:46,16.6,0,231.9,0,87.2
119,수원,2023-06-05 01:47,16.6,0,240.5,0,87.1
119,수원,2023-06-05 01:48,16.6,0,285.5,0,87.2
119,수원,2023-06-05 01:49,16.6,0,300.9,0,87.3
119,수원,2023-06-05 01:50,16.6,0,354.1,0,87.4
119,수원,2023-06-05 01:51,16.6,0,89,0,87.4
119,수원,2023-06-05 01:52,16.6,0,67.8,0,87.5
119,수원,2023-06-05 01:53,16.6,0,90.5,0,87.6
119,수원,2023-06-05 01:54,16.6,0,97.1,0,88.1
119,수원,2023-06-05 01:55,16.5,0,94.2,0,88.1
119,수원,2023-06-05 01:56,16.5,0,97.6,.6,88.1
119,수원,2023-06-05 01:57,16.6,0,72.1,0,88.3
119,수원,2023-06-05 01:58,16.6,0,59.4,.3,88.6
119,수원,2023-06-05 01:59,16.5,0,55.7,.5,88.6
119,수원,2023-06-05 02:00,16.5,0,83.6,.9,88.6
119,수원,2023-06-05 02:01,16.5,0,84.4,1,88.8
119,수원,2023-06-05 02:02,16.5,0,96.4,.9,88.6
119,수원,2023-06-05 02:03,16.4,0,87,1.1,88.5
119,수원,2023-06-05 02:04,16.4,0,92.9,1.3,88.5
119,수원,2023-06-05 02:05,16.4,0,84.2,1.2,89.2
119,수원,2023-06-05 02:06,16.5,0,83.9,1.2,89.6
119,수원,2023-06-05 02:07,16.5,0,87.2,1.3,89.5
119,수원,2023-06-05 02:08,16.5,0,83.4,1.1,89.4
119,수원,2023-06-05 02:09,16.5,0,94.1,.9,89.5
119,수원,2023-06-05 02:10,16.5,0,86.9,.7,89.4
119,수원,2023-06-05 02:11,16.5,0,85.8,.8,89.4
119,수원,2023-06-05 02:12,16.4,0,94.4,.6,89.4
119,수원,2023-06-05 02:13,16.4,0,106.4,.5,89.2
119,수원,2023-06-05 02:14,16.4,0,92.6,.6,89.3
119,수원,2023-06-05 02:15,16.4,0,97.3,.8,89.4
119,수원,2023-06-05 02:16,16.4,0,88.9,.7,89.3
119,수원,2023-06-05 02:17,16.4,0,88,.9,89.4
119,수원,2023-06-05 02:18,16.4,0,74.7,.8,89.5
119,수원,2023-06-05 02:19,16.4,0,73.7,1,89.3
119,수원,2023-06-05 02:20,16.4,0,84.9,1.1,89.4
119,수원,2023-06-05 02:21,16.3,0,87.2,.9,89.6
119,수원,2023-06-05 02:22,16.3,0,90.2,1.2,89.6
119,수원,2023-06-05 02:23,16.3,0,88,1.4,89.6
119,수원,2023-06-05 02:24,16.3,0,82.5,1.3,89.6
119,수원,2023-06-05 02:25,16.3,0,74.4,1.5,89.7
119,수원,2023-06-05 02:26,16.3,0,77.3,1.6,90.5
119,수원,2023-06-05 02:27,16.3,0,83.2,1.6,90.5
119,수원,2023-06-05 02:28,16.4,0,82.6,1.5,90.6
119,수원,2023-06-05 02:29,16.4,0,75.9,1.2,90.7
119,수원,2023-06-05 02:30,16.4,0,84.5,1.2,90.4
119,수원,2023-06-05 02:31,16.4,0,83.6,1.1,90.2
119,수원,2023-06-05 02:32,16.4,0,82.7,1.2,90.2
119,수원,2023-06-05 02:33,16.4,0,69.1,1.5,90.3
119,수원,2023-06-05 02:34,16.4,0,90.7,1.5,90.5
119,수원,2023-06-05 02:35,16.4,0,101.1,1.7,90.4
119,수원,2023-06-05 02:36,16.4,0,97.2,1.7,90.1
119,수원,2023-06-05 02:37,16.4,0,90.7,1.7,90.1
119,수원,2023-06-05 02:38,16.5,0,97.4,1.8,90.2
119,수원,2023-06-05 02:39,16.5,0,98.1,1.9,90.3
119,수원,2023-06-05 02:40,16.5,0,105.4,1.8,90.3
119,수원,2023-06-05 02:41,16.6,0,98,1.7,90.2
119,수원,2023-06-05 02:42,16.6,0,97.6,1.5,90.2
119,수원,2023-06-05 02:43,16.6,0,100.7,1.5,90
119,수원,2023-06-05 02:44,16.6,0,118.4,1.3,90.1
119,수원,2023-06-05 02:45,16.6,0,121.2,1.3,89.8
119,수원,2023-06-05 02:46,16.6,0,114.9,1.3,89.7
119,수원,2023-06-05 02:47,16.6,0,147.8,1.2,89.6
119,수원,2023-06-05 02:48,16.6,0,133.3,.7,89.2
119,수원,2023-06-05 02:49,16.6,0,122.1,.7,89.3
119,수원,2023-06-05 02:50,16.6,0,147.1,.7,89.2
119,수원,2023-06-05 02:51,16.6,0,137.7,.6,89
119,수원,2023-06-05 02:52,16.6,0,140.7,.3,88.8
119,수원,2023-06-05 02:53,16.5,0,113.2,0,88.8
119,수원,2023-06-05 02:54,16.5,0,150.5,0,88.9
119,수원,2023-06-05 02:55,16.5,0,190,0,89.3
119,수원,2023-06-05 02:56,16.4,0,210.9,.3,89.3
119,수원,2023-06-05 02:57,16.4,0,218.7,.1,89.3
119,수원,2023-06-05 02:58,16.4,0,224.3,0,89.5
119,수원,2023-06-05 02:59,16.4,0,236.4,0,89.3
119,수원,2023-06-05 03:00,16.3,0,220.3,.6,89.3
119,수원,2023-06-05 03:01,16.3,0,236.7,.8,89.3
119,수원,2023-06-05 03:02,16.3,0,253,.8,88.8
119,수원,2023-06-05 03:03,16.2,0,282.2,0,89
119,수원,2023-06-05 03:04,16.2,0,264.2,.3,89.2
119,수원,2023-06-05 03:05,16.2,0,275.9,.5,89.3
119,수원,2023-06-05 03:06,16.1,0,261.9,.5,89.5
119,수원,2023-06-05 03:07,16.1,0,270.7,.2,89.6
119,수원,2023-06-05 03:08,16.1,0,269.8,.3,89.6
119,수원,2023-06-05 03:09,16,0,261.5,.7,89.7
119,수원,2023-06-05 03:10,16,0,257.7,.6,89.6
119,수원,2023-06-05 03:11,16,0,251.6,.5,90
119,수원,2023-06-05 03:12,16,0,246.5,.5,90
119,수원,2023-06-05 03:13,16,0,255.4,.5,90
119,수원,2023-06-05 03:14,16,0,270.3,.4,89.8
119,수원,2023-06-05 03:15,15.9,0,266,.6,89.7
119,수원,2023-06-05 03:16,15.9,0,266.3,.7,89.4
119,수원,2023-06-05 03:17,15.9,0,263.8,.3,89.2
119,수원,2023-06-05 03:18,15.9,0,245.2,.2,89.2
119,수원,2023-06-05 03:19,15.8,0,261.2,.6,89.4
119,수원,2023-06-05 03:20,15.8,0,241.1,.5,89.1
119,수원,2023-06-05 03:21,15.8,0,235.9,.5,89.3
119,수원,2023-06-05 03:22,15.8,0,231.2,.2,89.5
119,수원,2023-06-05 03:23,15.8,0,230.6,.5,89.4
119,수원,2023-06-05 03:24,15.8,0,208.5,.4,89.5
119,수원,2023-06-05 03:25,15.8,0,226.3,.6,90
119,수원,2023-06-05 03:26,15.8,0,216.5,.4,89.9
119,수원,2023-06-05 03:27,15.8,0,212.3,.3,90.5
119,수원,2023-06-05 03:28,15.9,0,206.4,.1,90.7
119,수원,2023-06-05 03:29,15.9,0,193.9,.5,91
119,수원,2023-06-05 03:30,15.9,0,175.1,.5,91.2
119,수원,2023-06-05 03:31,15.9,0,167.9,.6,91.3
119,수원,2023-06-05 03:32,15.9,0,148.5,.8,91.8
119,수원,2023-06-05 03:33,15.9,0,147.9,1.3,91.6
119,수원,2023-06-05 03:34,15.9,0,151.3,1.1,92.1
119,수원,2023-06-05 03:35,15.9,0,149.5,1.6,92.1
119,수원,2023-06-05 03:36,16,0,137.3,1.4,92.4
119,수원,2023-06-05 03:37,16,0,138,1.1,92.4
119,수원,2023-06-05 03:38,16,0,136.9,.8,92.5
119,수원,2023-06-05 03:39,16.1,0,141.3,.7,92.6
119,수원,2023-06-05 03:40,16.1,0,129.4,1,92.4
119,수원,2023-06-05 03:41,16.1,0,142.2,.9,92.5
119,수원,2023-06-05 03:42,16.1,0,161.5,.5,92.1
119,수원,2023-06-05 03:43,16.1,0,196.3,0,92.3
119,수원,2023-06-05 03:44,16.1,0,196.5,2.8,91.8
119,수원,2023-06-05 03:45,16.1,0,154,1.8,91.8
119,수원,2023-06-05 03:46,16.1,0,154.3,2.8,91.6
119,수원,2023-06-05 03:47,16.3,0,178.5,1.6,92.4
119,수원,2023-06-05 03:48,16.3,0,166.2,1.3,92.1
119,수원,2023-06-05 03:49,16.4,0,160.7,1.6,92
119,수원,2023-06-05 03:50,16.5,0,162.7,2.1,91.5
119,수원,2023-06-05 03:51,16.6,0,177.2,1.6,91.3
119,수원,2023-06-05 03:52,16.7,0,163.6,1.5,91.1
119,수원,2023-06-05 03:53,16.7,0,154.9,1.6,90.8
119,수원,2023-06-05 03:54,16.8,0,146.7,2.1,90.6
119,수원,2023-06-05 03:55,16.8,0,121.7,1.6,90.1
119,수원,2023-06-05 03:56,16.7,0,107.7,1,90
119,수원,2023-06-05 03:57,16.7,0,117.6,1.9,89.8
119,수원,2023-06-05 03:58,16.6,0,145.3,1.4,89.9
119,수원,2023-06-05 03:59,16.6,0,104.8,1.7,90
119,수원,2023-06-05 04:00,16.6,0,110.2,1.9,90.1
119,수원,2023-06-05 04:01,16.6,0,105.7,1.7,90.2
119,수원,2023-06-05 04:02,16.5,0,107,2.1,90.2
119,수원,2023-06-05 04:03,16.5,0,121.3,2.2,90.7
119,수원,2023-06-05 04:04,16.5,0,112.9,2.1,90.8
119,수원,2023-06-05 04:05,16.5,0,108.1,1.7,90.8
119,수원,2023-06-05 04:06,16.5,0,105.4,1.7,90.8
119,수원,2023-06-05 04:07,16.5,0,113.8,2,90.9
119,수원,2023-06-05 04:08,16.4,0,115.2,1.8,90.8
119,수원,2023-06-05 04:09,16.4,0,115.7,1.6,91
119,수원,2023-06-05 04:10,16.4,0,105.6,1.7,90.9
119,수원,2023-06-05 04:11,16.4,0,115.2,1.8,91
119,수원,2023-06-05 04:12,16.4,0,118.6,2,91
119,수원,2023-06-05 04:13,16.4,0,115.3,1.9,91.3
119,수원,2023-06-05 04:14,16.4,0,122.3,2,91.5
119,수원,2023-06-05 04:15,16.4,0,116,1.8,91.3
119,수원,2023-06-05 04:16,16.4,0,117.3,1.9,91.5
119,수원,2023-06-05 04:17,16.4,0,120.3,1.9,91.4
119,수원,2023-06-05 04:18,16.4,0,111.6,1.9,91.5
119,수원,2023-06-05 04:19,16.4,0,110.9,2,91.4
119,수원,2023-06-05 04:20,16.4,0,108.2,1.5,91.4
119,수원,2023-06-05 04:21,16.4,0,112.5,1.4,91.6
119,수원,2023-06-05 04:22,16.4,0,99.2,1.4,91.4
119,수원,2023-06-05 04:23,16.4,0,102.6,1.3,91.5
119,수원,2023-06-05 04:24,16.4,0,102.8,1.6,91.4
119,수원,2023-06-05 04:25,16.4,0,105.3,1.5,91.4
119,수원,2023-06-05 04:26,16.4,0,108.5,1.6,91.3
119,수원,2023-06-05 04:27,16.3,0,109.4,1.3,91.2
119,수원,2023-06-05 04:28,16.3,0,103.4,1.4,91.5
119,수원,2023-06-05 04:29,16.3,0,103.3,1.6,91.3
119,수원,2023-06-05 04:30,16.3,0,98.1,1.3,91.3
119,수원,2023-06-05 04:31,16.3,0,96.7,1.3,91.3
119,수원,2023-06-05 04:32,16.3,0,104.5,1.3,91.2
119,수원,2023-06-05 04:33,16.3,0,95.4,1.4,91.3
119,수원,2023-06-05 04:34,16.3,0,89.6,1.3,91.3
119,수원,2023-06-05 04:35,16.3,0,89.4,1.3,91.2
119,수원,2023-06-05 04:36,16.2,0,96.1,1.3,91.3
119,수원,2023-06-05 04:37,16.2,0,101.6,1.5,91.5
119,수원,2023-06-05 04:38,16.2,0,99.5,1.6,91.5
119,수원,2023-06-05 04:39,16.2,0,98.6,1.4,91.6
119,수원,2023-06-05 04:40,16.2,0,105.3,1.3,91.3
