지점,지점명,일시,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),습도(%)
119,수원,2023-09-04 00:01,25.5,0,104.8,1.4,82.9
119,수원,2023-09-04 00:02,25.5,0,97.7,1.3,82.8
119,수원,2023-09-04 00:03,25.5,0,84.4,2.8,82.6
119,수원,2023-09-04 00:04,25.5,0,93.2,2.6,82.4
119,수원,2023-09-04 00:05,25.6,0,94.1,2.2,81.9
119,수원,2023-09-04 00:06,25.6,0,97.1,1.9,81.9
119,수원,2023-09-04 00:07,25.6,0,95.3,1.9,82
119,수원,2023-09-04 00:08,25.6,0,104,1.2,81.9
119,수원,2023-09-04 00:09,25.6,0,112.5,1.3,82
119,수원,2023-09-04 00:10,25.6,0,119.9,1.3,82
119,수원,2023-09-04 00:11,25.6,0,137.6,.9,82.4
119,수원,2023-09-04 00:12,25.6,0,118.5,1,82.3
119,수원,2023-09-04 00:13,25.6,0,103.5,1.2,82.3
119,수원,2023-09-04 00:14,25.6,0,105.6,.8,82.8
119,수원,2023-09-04 00:15,25.6,0,96.2,.9,82.7
119,수원,2023-09-04 00:16,25.6,0,106.8,2,82.8
119,수원,2023-09-04 00:17,25.6,0,75.2,1.4,83.1
119,수원,2023-09-04 00:18,25.6,0,86.7,2.1,83.4
119,수원,2023-09-04 00:19,25.5,0,78.2,1.6,83
119,수원,2023-09-04 00:20,25.5,0,80.5,1.3,83
119,수원,2023-09-04 00:21,25.5,0,91.5,.9,83
119,수원,2023-09-04 00:22,25.5,0,60.7,.4,83
119,수원,2023-09-04 00:23,25.5,0,43.1,0,83.1
119,수원,2023-09-04 00:24,25.5,0,63.5,.6,83.1
119,수원,2023-09-04 00:25,25.5,0,63,.3,82.9
119,수원,2023-09-04 00:26,25.5,0,50.9,.2,83
119,수원,2023-09-04 00:27,25.5,0,58,.3,83.5
119,수원,2023-09-04 00:28,25.4,0,35.6,.3,83.3
119,수원,2023-09-04 00:29,25.4,0,80.9,.5,83.8
119,수원,2023-09-04 00:30,25.4,0,178.7,0,84.2
119,수원,2023-09-04 00:31,25.4,0,65.8,.3,84
119,수원,2023-09-04 00:32,25.4,0,72.7,.3,83.7
119,수원,2023-09-04 00:33,25.4,0,312.1,0,83.8
119,수원,2023-09-04 00:34,25.3,0,295.1,0,84.7
119,수원,2023-09-04 00:35,25.3,0,324,0,84.6
119,수원,2023-09-04 00:36,25.2,0,300.1,.1,84.7
119,수원,2023-09-04 00:37,25.2,0,309.4,0,84.9
119,수원,2023-09-04 00:38,25.2,0,305.6,.8,85.1
119,수원,2023-09-04 00:39,25.1,0,314.1,.8,85.4
119,수원,2023-09-04 00:40,25.1,0,315.9,1,85.1
119,수원,2023-09-04 00:41,25.1,0,326.5,.6,85.5
119,수원,2023-09-04 00:42,25,0,346.2,.8,85.8
119,수원,2023-09-04 00:43,25,0,147.2,1.1,86.1
119,수원,2023-09-04 00:44,25,0,16.4,1.2,86.1
119,수원,2023-09-04 00:45,25,0,19.1,1.2,85.9
119,수원,2023-09-04 00:46,25,0,6.5,1.4,85.5
119,수원,2023-09-04 00:47,25,0,23.5,1.1,85.4
119,수원,2023-09-04 00:48,25,0,208.7,.7,84.9
119,수원,2023-09-04 00:49,25,0,124.7,1,85.3
119,수원,2023-09-04 00:50,25,0,69.2,1.1,85.5
119,수원,2023-09-04 00:51,25,0,5,.5,85.3
119,수원,2023-09-04 00:52,25,0,31.6,1.1,85.9
119,수원,2023-09-04 00:53,25,0,351.6,1.1,85.9
119,수원,2023-09-04 00:54,24.9,0,16.4,1.4,86.2
119,수원,2023-09-04 00:55,24.9,0,262,1,85.4
119,수원,2023-09-04 00:56,24.9,0,26.7,1.2,85.2
119,수원,2023-09-04 00:57,24.9,0,28.2,.7,85.4
119,수원,2023-09-04 00:58,24.9,0,20.9,1.2,85.3
119,수원,2023-09-04 00:59,25,0,34.6,.9,85.2
119,수원,2023-09-04 01:00,24.9,0,36.4,.9,85.5
119,수원,2023-09-04 01:01,24.9,0,19.6,1,85.3
119,수원,2023-09-04 01:02,24.9,0,19,1.3,85.4
119,수원,2023-09-04 01:03,24.9,0,24.6,1.1,85.5
119,수원,2023-09-04 01:04,24.9,0,30.9,.8,85.5
119,수원,2023-09-04 01:05,24.9,0,13.8,.6,85.6
119,수원,2023-09-04 01:06,24.9,0,14.5,1.3,85.8
