지점,지점명,일시,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),습도(%)
119,수원,2023-07-05 00:01,24.2,0,153.5,4.5,94
119,수원,2023-07-05 00:02,24.2,0,150.7,3.6,93.9
119,수원,2023-07-05 00:03,24.2,0,143.4,4.8,93.5
119,수원,2023-07-05 00:04,24.2,0,144.1,5.4,93.9
119,수원,2023-07-05 00:05,24.2,0,154.7,6.1,93.7
119,수원,2023-07-05 00:06,24.2,0,141.8,4.4,93.7
119,수원,2023-07-05 00:07,24.2,0,148,3.9,93.6
119,수원,2023-07-05 00:08,24.2,0,141.2,2.7,93.6
119,수원,2023-07-05 00:09,24.2,0,164.6,5.2,93.7
119,수원,2023-07-05 00:10,24.2,0,156.7,3.5,93.8
119,수원,2023-07-05 00:11,24.2,0,153.8,5.4,93.6
119,수원,2023-07-05 00:12,24.2,0,153.5,5.6,93.5
119,수원,2023-07-05 00:13,24.2,0,160.4,4.9,93.6
119,수원,2023-07-05 00:14,24.2,0,158.2,5.2,93.6
119,수원,2023-07-05 00:15,24.2,0,142.4,6.7,93.6
119,수원,2023-07-05 00:16,24.3,0,162.1,5.1,93.3
119,수원,2023-07-05 00:17,24.2,0,142.4,5.4,93.5
119,수원,2023-07-05 00:18,24.3,0,142,4.4,93.7
119,수원,2023-07-05 00:19,24.3,0,151.2,4.2,93.8
119,수원,2023-07-05 00:20,24.3,0,141.1,3.2,93.5
119,수원,2023-07-05 00:21,24.3,0,158.3,3.9,93.7
119,수원,2023-07-05 00:22,24.3,0,143.8,3.4,93.6
119,수원,2023-07-05 00:23,24.3,0,136.4,6.1,93.7
119,수원,2023-07-05 00:24,24.3,0,146.3,5.4,93.6
119,수원,2023-07-05 00:25,24.3,0,146.7,5.7,93.5
119,수원,2023-07-05 00:26,24.3,0,163.5,5.9,93.6
119,수원,2023-07-05 00:27,24.3,0,155.1,5.5,93.7
119,수원,2023-07-05 00:28,24.3,0,160.3,3.8,93.9
119,수원,2023-07-05 00:29,24.3,0,151.4,4.5,93.5
119,수원,2023-07-05 00:30,24.3,0,150.9,3.7,93.4
119,수원,2023-07-05 00:31,24.3,0,171.8,4.6,93.6
119,수원,2023-07-05 00:32,24.3,0,178.8,3.5,93.6
119,수원,2023-07-05 00:33,24.3,0,194.5,4.3,93.8
119,수원,2023-07-05 00:34,24.3,0,170.9,2.6,94.2
119,수원,2023-07-05 00:35,24.3,0,143.6,2.8,94.3
119,수원,2023-07-05 00:36,24.2,0,133.4,2.6,94.6
119,수원,2023-07-05 00:37,24.2,0,147.7,2.7,94.6
119,수원,2023-07-05 00:38,24.2,0,128.8,2.9,95
119,수원,2023-07-05 00:39,24.1,.7,144.4,3.9,95.2
119,수원,2023-07-05 00:40,24.1,1.6,150.2,3.7,95.3
119,수원,2023-07-05 00:41,24.1,2.6,150.1,3.2,95.6
119,수원,2023-07-05 00:42,24,3.5,136.9,3.1,95.6
119,수원,2023-07-05 00:43,24,4.1,136.8,4.5,95.6
119,수원,2023-07-05 00:44,24,4.6,141.5,3.6,96
119,수원,2023-07-05 00:45,24,5.1,140.2,3.9,96.1
119,수원,2023-07-05 00:46,24,5.6,150.7,3,96.1
119,수원,2023-07-05 00:47,23.9,6,147.5,3.5,96.6
119,수원,2023-07-05 00:48,23.9,6.2,140.5,4.2,96.7
119,수원,2023-07-05 00:49,23.9,6.3,121.4,2.7,96.6
119,수원,2023-07-05 00:50,23.9,6.6,153.8,2.8,96.6
119,수원,2023-07-05 00:51,23.9,6.9,156.5,2.9,96.6
119,수원,2023-07-05 00:52,23.9,7,164.2,2.6,96.6
119,수원,2023-07-05 00:53,23.9,7.3,206.4,2.1,96.8
119,수원,2023-07-05 00:54,23.9,7.5,157,2.7,96.8
119,수원,2023-07-05 00:55,23.9,7.6,169.2,1.5,96.8
119,수원,2023-07-05 00:56,23.9,7.8,167.6,2.8,96.9
119,수원,2023-07-05 00:57,23.9,8,168.5,3.3,96.9
119,수원,2023-07-05 00:58,23.9,8,218.8,2.6,96.9
119,수원,2023-07-05 00:59,23.9,8.1,168.8,3,97
119,수원,2023-07-05 01:00,23.9,8.2,148.9,2.6,96.9
119,수원,2023-07-05 01:01,23.9,8.2,160.1,3.3,97.1
119,수원,2023-07-05 01:02,23.9,8.2,140.3,3.5,97
119,수원,2023-07-05 01:03,23.9,8.3,131.7,5.5,96.9
119,수원,2023-07-05 01:04,23.9,8.3,156.6,2.6,97
